🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.93 (m), y: 0.08 (m)
Time: 0.11 (s), x: 10.90 (m), y: 0.08 (m)
Time: 0.22 (s), x: 10.88 (m), y: 0.07 (m)
Time: 44.33 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 44.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.87 (s), x: 11.05 (m), y: 0.03 (m)
Time: 45.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 46.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 47.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 48.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.67 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 49.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.08 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.39 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.70 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 50.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.11 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.42 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 51.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 52.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 53.99 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 54.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.32 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 55.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.04 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 56.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.79 (s), x: 11.05 (m), y: 0.03 (m)
Time: 57.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 58.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.33 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 59.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.67 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.87 (s), x: 11.05 (m), y: 0.03 (m)
Time: 60.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.08 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.39 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 61.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.11 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.42 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 62.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.04 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 63.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.79 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 64.99 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 65.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.33 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 66.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.67 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 67.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.08 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.39 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.70 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 68.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.11 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.42 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 69.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 70.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.58 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 71.99 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.30 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 72.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.33 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 73.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.36 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.46 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.56 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.67 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.77 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.87 (s), x: 11.05 (m), y: 0.03 (m)
Time: 74.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.08 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.18 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.49 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.80 (s), x: 11.05 (m), y: 0.03 (m)
Time: 75.90 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.21 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.52 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.62 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 76.93 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.65 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 77.96 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.27 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 78.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.39 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.70 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 79.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.01 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.11 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.32 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.42 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.73 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.83 (s), x: 11.05 (m), y: 0.03 (m)
Time: 80.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.04 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.14 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.24 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.45 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.55 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.66 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.76 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.86 (s), x: 11.05 (m), y: 0.03 (m)
Time: 81.97 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.07 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.17 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.28 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.38 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.48 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.59 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.69 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.79 (s), x: 11.05 (m), y: 0.03 (m)
Time: 82.89 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.00 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.10 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.20 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.31 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.41 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.51 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.61 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.72 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.82 (s), x: 11.05 (m), y: 0.03 (m)
Time: 83.92 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.03 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.13 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.23 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.34 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.44 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.54 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.64 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.75 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.85 (s), x: 11.05 (m), y: 0.03 (m)
Time: 84.95 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.06 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.16 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.26 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.37 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.47 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.57 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.68 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.78 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.88 (s), x: 11.05 (m), y: 0.03 (m)
Time: 85.98 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.09 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.19 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.29 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.40 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.50 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.60 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.71 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.81 (s), x: 11.05 (m), y: 0.03 (m)
Time: 86.91 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.02 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.12 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.22 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.32 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.43 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.53 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.63 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.74 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.84 (s), x: 11.05 (m), y: 0.03 (m)
Time: 87.94 (s), x: 11.05 (m), y: 0.03 (m)
Time: 88.05 (s), x: 11.05 (m), y: 0.03 (m)
Time: 88.15 (s), x: 11.05 (m), y: 0.03 (m)
Time: 88.25 (s), x: 11.05 (m), y: 0.03 (m)
Time: 88.35 (s), x: 11.05 (m), y: 0.03 (m)
Time: 88.46 (s), x: 11.05 (m), y: 0.03 (m)
